Policy Number,Facility Name,Location,State,Facility Type,Rides,RIDE Score,Band,90d Trend,Percentile,Readiness,Integrity,Delivery,Environment,Inspection Completion,CACR,Avg CAR Age (days),Open CARs,Audit Integrity,Active Flags,Claims 3yr,Total Incurred 3yr,Claims 2024,Claims 2025,Claims 2026 YTD,LC Visits 12mo,LC Findings,LC Resolved,Next LC Visit,Renewal Date,Recommendation,Last Updated
MASI-2024-0812,Universal Epic Universe,"Orlando, FL",FL,Tier 1 Major Theme Park,50,82,STRONG,+4,84th,85,79,84,78,96%,92%,3.2,1,HIGH,0,2,$87000,1,1,0,3,9,9,May 2026,Nov 2026,Renew,2026-03-25
MASI-2024-0823,Cedar Point,"Sandusky, OH",OH,Tier 1 Major Theme Park,68,79,STRONG,+1,76th,82,76,80,77,94%,91%,2.9,0,HIGH,0,1,$34000,1,0,0,2,6,6,Jun 2026,Sep 2026,Renew,2026-03-25
MASI-2024-0831,Hersheypark,"Hershey, PA",PA,Tier 1 Major Theme Park,76,76,STRONG,+3,71st,79,73,78,74,92%,89%,4.1,1,HIGH,0,2,$62000,1,1,0,2,7,7,May 2026,Aug 2026,Renew,2026-03-25
MASI-2024-0835,Busch Gardens Tampa,"Tampa, FL",FL,Tier 1 Major Theme Park,42,75,STRONG,+2,68th,78,72,76,73,91%,88%,4.4,1,HIGH,0,2,$71000,1,1,0,2,5,5,Jun 2026,Oct 2026,Renew,2026-03-25
MASI-2024-0847,Six Flags Great Adventure,"Jackson, NJ",NJ,Tier 1 Major Theme Park,42,71,GOOD,+2,62nd,74,68,73,69,88%,85%,5.8,3,MEDIUM,1,4,$170500,3,1,0,2,4,3,Apr 2026,Oct 2026,Renew + Monitor,2026-03-25
MASI-2024-0852,Kennywood,"West Mifflin, PA",PA,Tier 2 Regional Park,28,70,GOOD,+1,58th,73,67,71,68,86%,84%,5.2,2,MEDIUM,0,3,$95000,2,1,0,1,3,3,Jul 2026,Jul 2026,Renew + Monitor,2026-03-25
MASI-2024-0858,Knoebels,"Elysburg, PA",PA,Tier 2 Regional Park,38,68,GOOD,-2,52nd,72,65,70,64,82%,78%,7.2,3,MEDIUM,1,5,$198000,3,2,0,1,5,2,May 2026,Jun 2026,Renew + Monitor,2026-03-24
MASI-2024-0861,Lake Compounce,"Bristol, CT",CT,Tier 2 Regional Park,24,67,GOOD,+1,49th,70,64,69,65,85%,82%,5.8,1,MEDIUM,0,2,$54000,1,1,0,1,2,2,Aug 2026,May 2026,Renew + Monitor,2026-03-25
MASI-2024-0867,Dorney Park,"Allentown, PA",PA,Tier 1 Major Theme Park,38,65,GOOD,-1,44th,68,62,67,63,84%,80%,6.5,2,MEDIUM,0,3,$110000,2,1,0,2,5,4,Jun 2026,Sep 2026,Renew + Monitor,2026-03-24
MASI-2024-0873,Wild Adventures,"Valdosta, GA",GA,Tier 2 Regional Park,32,63,GOOD,+1,40th,66,60,65,61,80%,76%,7.8,2,MEDIUM,0,4,$128000,2,1,1,1,4,3,Jul 2026,Aug 2026,Renew + Monitor,2026-03-25
MASI-2024-0879,Clementon Park,"Clementon, NJ",NJ,Tier 3 Small Park,14,58,WATCH,-3,28th,60,54,60,56,72%,68%,9.4,4,LOW,1,6,$215000,3,2,1,1,6,4,May 2026,Jul 2026,Surcharge Required,2026-03-24
MASI-2024-0884,Funtown Splashtown,"Saco, ME",ME,Tier 3 Small Park,18,52,WATCH,-6,18th,55,48,54,50,68%,62%,12.4,5,LOW,2,8,$340000,4,3,1,1,6,1,Apr 2026,Jun 2026,Surcharge + CAP Required,2026-03-22
MASI-2024-0891,Adventure Park USA,"New Market, MD",MD,Tier 3 Small Park,12,44,WATCH,-8,10th,48,40,46,42,58%,52%,18.7,6,LOW,3,11,$520000,5,4,2,2,8,2,Apr 2026,May 2026,Surcharge + CAP Required,2026-03-21
MASI-2024-0896,Shore Fun Park,"Seaside Heights, NJ",NJ,Tier 3 Small Park,10,38,CRITICAL,-12,4th,42,29,40,38,45%,38%,24.2,8,CRITICAL,4,14,$680000,6,5,3,1,10,2,ASAP,Apr 2026,Non-Renewal Review,2026-03-20
